Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13163231, 'exchange_timestamp': 1711012727000, 'last_traded_price': 307175, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 3, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974620, 'total_buy_quantity': 91271.0, 'total_sell_quantity': 139538.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012726, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 48, 'price': 307010, 'no of orders': 1}, {'flag': 1, 'quantity': 232, 'price': 307005, 'no of orders': 4}, {'flag': 1, 'quantity': 82, 'price': 307000, 'no of orders': 1}, {'flag': 1, 'quantity': 12, 'price': 306995, 'no of orders': 1}, {'flag': 1, 'quantity': 5, 'price': 306990, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 44, 'price': 307175, 'no of orders': 2}, {'flag': 0, 'quantity': 45, 'price': 307180, 'no of orders': 2}, {'flag': 0, 'quantity': 2, 'price': 307185, 'no of orders': 1}, {'flag': 0, 'quantity': 74, 'price': 307190, 'no of orders': 4}, {'flag': 0, 'quantity': 16, 'price': 307195, 'no of orders': 3}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13163614, 'exchange_timestamp': 1711012727000, 'last_traded_price': 307100, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 2, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974625, 'total_buy_quantity': 91147.0, 'total_sell_quantity': 140060.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012727, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 3, 'price': 307060, 'no of orders': 1}, {'flag': 1, 'quantity': 51, 'price': 307050, 'no of orders': 2}, {'flag': 1, 'quantity': 73, 'price': 307045, 'no of orders': 2}, {'flag': 1, 'quantity': 23, 'price': 307035, 'no of orders': 3}, {'flag': 1, 'quantity': 6, 'price': 307030, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 3, 'price': 307175, 'no of orders': 1}, {'flag': 0, 'quantity': 13, 'price': 307195, 'no of orders': 2}, {'flag': 0, 'quantity': 4, 'price': 307200, 'no of orders': 1}, {'flag': 0, 'quantity': 51, 'price': 307215, 'no of orders': 2}, {'flag': 0, 'quantity': 42, 'price': 307220, 'no of orders': 3}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13163861, 'exchange_timestamp': 1711012728000, 'last_traded_price': 307060, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 3, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974625, 'total_buy_quantity': 91147.0, 'total_sell_quantity': 140060.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012727, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 3, 'price': 307060, 'no of orders': 1}, {'flag': 1, 'quantity': 51, 'price': 307050, 'no of orders': 2}, {'flag': 1, 'quantity': 73, 'price': 307045, 'no of orders': 2}, {'flag': 1, 'quantity': 23, 'price': 307035, 'no of orders': 3}, {'flag': 1, 'quantity': 6, 'price': 307030, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 3, 'price': 307175, 'no of orders': 1}, {'flag': 0, 'quantity': 13, 'price': 307195, 'no of orders': 2}, {'flag': 0, 'quantity': 4, 'price': 307200, 'no of orders': 1}, {'flag': 0, 'quantity': 51, 'price': 307215, 'no of orders': 2}, {'flag': 0, 'quantity': 42, 'price': 307220, 'no of orders': 3}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13164258, 'exchange_timestamp': 1711012728000, 'last_traded_price': 306980, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 31, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974671, 'total_buy_quantity': 90968.0, 'total_sell_quantity': 140570.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012728, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 102, 'price': 306950, 'no of orders': 1}, {'flag': 1, 'quantity': 6, 'price': 306945, 'no of orders': 1}, {'flag': 1, 'quantity': 9, 'price': 306930, 'no of orders': 1}, {'flag': 1, 'quantity': 48, 'price': 306925, 'no of orders': 1}, {'flag': 1, 'quantity': 16, 'price': 306920, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 43, 'price': 307090, 'no of orders': 3}, {'flag': 0, 'quantity': 1, 'price': 307095, 'no of orders': 1}, {'flag': 0, 'quantity': 3, 'price': 307110, 'no of orders': 1}, {'flag': 0, 'quantity': 96, 'price': 307120, 'no of orders': 4}, {'flag': 0, 'quantity': 4, 'price': 307125, 'no of orders': 1}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13164575, 'exchange_timestamp': 1711012729000, 'last_traded_price': 307090, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 3, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974671, 'total_buy_quantity': 90968.0, 'total_sell_quantity': 140570.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012728, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 102, 'price': 306950, 'no of orders': 1}, {'flag': 1, 'quantity': 6, 'price': 306945, 'no of orders': 1}, {'flag': 1, 'quantity': 9, 'price': 306930, 'no of orders': 1}, {'flag': 1, 'quantity': 48, 'price': 306925, 'no of orders': 1}, {'flag': 1, 'quantity': 16, 'price': 306920, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 43, 'price': 307090, 'no of orders': 3}, {'flag': 0, 'quantity': 1, 'price': 307095, 'no of orders': 1}, {'flag': 0, 'quantity': 3, 'price': 307110, 'no of orders': 1}, {'flag': 0, 'quantity': 96, 'price': 307120, 'no of orders': 4}, {'flag': 0, 'quantity': 4, 'price': 307125, 'no of orders': 1}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13164907, 'exchange_timestamp': 1711012729000, 'last_traded_price': 307090, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 3, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974674, 'total_buy_quantity': 91690.0, 'total_sell_quantity': 140473.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012729, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 72, 'price': 306955, 'no of orders': 2}, {'flag': 1, 'quantity': 150, 'price': 306950, 'no of orders': 2}, {'flag': 1, 'quantity': 9, 'price': 306945, 'no of orders': 2}, {'flag': 1, 'quantity': 13, 'price': 306930, 'no of orders': 2}, {'flag': 1, 'quantity': 25, 'price': 306920, 'no of orders': 2}], 'best_5_sell_data': [{'flag': 0, 'quantity': 4, 'price': 307095, 'no of orders': 2}, {'flag': 0, 'quantity': 38, 'price': 307120, 'no of orders': 2}, {'flag': 0, 'quantity': 35, 'price': 307130, 'no of orders': 2}, {'flag': 0, 'quantity': 48, 'price': 307135, 'no of orders': 1}, {'flag': 0, 'quantity': 13, 'price': 307140, 'no of orders': 2}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13165248, 'exchange_timestamp': 1711012730000, 'last_traded_price': 306955, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 2, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974674, 'total_buy_quantity': 91690.0, 'total_sell_quantity': 140473.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012729, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 72, 'price': 306955, 'no of orders': 2}, {'flag': 1, 'quantity': 150, 'price': 306950, 'no of orders': 2}, {'flag': 1, 'quantity': 9, 'price': 306945, 'no of orders': 2}, {'flag': 1, 'quantity': 13, 'price': 306930, 'no of orders': 2}, {'flag': 1, 'quantity': 25, 'price': 306920, 'no of orders': 2}], 'best_5_sell_data': [{'flag': 0, 'quantity': 4, 'price': 307095, 'no of orders': 2}, {'flag': 0, 'quantity': 38, 'price': 307120, 'no of orders': 2}, {'flag': 0, 'quantity': 35, 'price': 307130, 'no of orders': 2}, {'flag': 0, 'quantity': 48, 'price': 307135, 'no of orders': 1}, {'flag': 0, 'quantity': 13, 'price': 307140, 'no of orders': 2}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13165561, 'exchange_timestamp': 1711012730000, 'last_traded_price': 306915, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 2, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974695, 'total_buy_quantity': 91820.0, 'total_sell_quantity': 140790.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012730, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 10, 'price': 306915, 'no of orders': 1}, {'flag': 1, 'quantity': 7, 'price': 306905, 'no of orders': 2}, {'flag': 1, 'quantity': 6, 'price': 306900, 'no of orders': 2}, {'flag': 1, 'quantity': 10, 'price': 306895, 'no of orders': 1}, {'flag': 1, 'quantity': 1, 'price': 306890, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 48, 'price': 307065, 'no of orders': 1}, {'flag': 0, 'quantity': 35, 'price': 307070, 'no of orders': 1}, {'flag': 0, 'quantity': 10, 'price': 307075, 'no of orders': 1}, {'flag': 0, 'quantity': 38, 'price': 307085, 'no of orders': 2}, {'flag': 0, 'quantity': 10, 'price': 307090, 'no of orders': 1}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13165887, 'exchange_timestamp': 1711012731000, 'last_traded_price': 306915, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 10, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974695, 'total_buy_quantity': 91820.0, 'total_sell_quantity': 140790.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012730, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 10, 'price': 306915, 'no of orders': 1}, {'flag': 1, 'quantity': 7, 'price': 306905, 'no of orders': 2}, {'flag': 1, 'quantity': 6, 'price': 306900, 'no of orders': 2}, {'flag': 1, 'quantity': 10, 'price': 306895, 'no of orders': 1}, {'flag': 1, 'quantity': 1, 'price': 306890, 'no of orders': 1}], 'best_5_sell_data': [{'flag': 0, 'quantity': 48, 'price': 307065, 'no of orders': 1}, {'flag': 0, 'quantity': 35, 'price': 307070, 'no of orders': 1}, {'flag': 0, 'quantity': 10, 'price': 307075, 'no of orders': 1}, {'flag': 0, 'quantity': 38, 'price': 307085, 'no of orders': 2}, {'flag': 0, 'quantity': 10, 'price': 307090, 'no of orders': 1}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13166188, 'exchange_timestamp': 1711012731000, 'last_traded_price': 306915, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 10, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974705, 'total_buy_quantity': 91125.0, 'total_sell_quantity': 140457.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012730, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 147, 'price': 306930, 'no of orders': 3}, {'flag': 1, 'quantity': 96, 'price': 306925, 'no of orders': 1}, {'flag': 1, 'quantity': 33, 'price': 306920, 'no of orders': 4}, {'flag': 1, 'quantity': 174, 'price': 306915, 'no of orders': 3}, {'flag': 1, 'quantity': 96, 'price': 306910, 'no of orders': 3}], 'best_5_sell_data': [{'flag': 0, 'quantity': 1, 'price': 307095, 'no of orders': 1}, {'flag': 0, 'quantity': 20, 'price': 307100, 'no of orders': 1}, {'flag': 0, 'quantity': 36, 'price': 307120, 'no of orders': 2}, {'flag': 0, 'quantity': 33, 'price': 307130, 'no of orders': 1}, {'flag': 0, 'quantity': 48, 'price': 307140, 'no of orders': 1}]}
Ticks: {'subscription_mode': 3, 'exchange_type': 1, 'token': '25', 'sequence_number': 13166546, 'exchange_timestamp': 1711012732000, 'last_traded_price': 307100, 'subscription_mode_val': 'SNAP_QUOTE', 'last_traded_quantity': 2, 'average_traded_price': 308320, 'volume_trade_for_the_day': 974705, 'total_buy_quantity': 91125.0, 'total_sell_quantity': 140457.0, 'open_price_of_the_day': 308955, 'high_price_of_the_day': 310710, 'low_price_of_the_day': 306010, 'closed_price': 305145, 'last_traded_timestamp': 1711012730, 'open_interest': 37229700, 'open_interest_change_percentage': -4635086753863654434, 'upper_circuit_limit': 335655, 'lower_circuit_limit': 274630, '52_week_high_price': 335000, '52_week_low_price': 157300, 'best_5_buy_data': [{'flag': 1, 'quantity': 147, 'price': 306930, 'no of orders': 3}, {'flag': 1, 'quantity': 96, 'price': 306925, 'no of orders': 1}, {'flag': 1, 'quantity': 33, 'price': 306920, 'no of orders': 4}, {'flag': 1, 'quantity': 174, 'price': 306915, 'no of orders': 3}, {'flag': 1, 'quantity': 96, 'price': 306910, 'no of orders': 3}], 'best_5_sell_data': [{'flag': 0, 'quantity': 1, 'price': 307095, 'no of orders': 1}, {'flag': 0, 'quantity': 20, 'price': 307100, 'no of orders': 1}, {'flag': 0, 'quantity': 36, 'price': 307120, 'no of orders': 2}, {'flag': 0, 'quantity': 33, 'price': 307130, 'no of orders': 1}, {'flag': 0, 'quantity': 48, 'price': 307140, 'no of orders': 1}]}
